level,problem_id,task_name,candidate_count,compile_count,correct_count,success,fast1,best_speedup,best_node_id,first_correct_attempt,first_correct_node_id,first_correct_speedup,refine_gain,run_dir
1,28,kernelbench_l1_28_28_hardsigmoid,10,10,9,True,True,1.0066225165562914,phase2_n1,1,n1,0.9625,1.0458415756429003,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P028
1,29,kernelbench_l1_29_29_softplus,10,10,10,True,True,1.8376623376623378,n4,1,n1,1.0,1.8376623376623378,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P029
1,30,kernelbench_l1_30_30_softsign,10,10,9,True,True,3.2317880794701987,phase2_n3,2,n2,3.175324675324675,1.017781930957895,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P030
1,31,kernelbench_l1_31_31_elu,10,10,10,True,True,1.0066666666666666,phase2_n5,1,n1,0.9685534591194969,1.0393506493506492,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P031
1,32,kernelbench_l1_32_32_hardtanh,10,9,9,True,True,1.1250000000000002,phase2_n4,1,n1,0.9934640522875816,1.1324013157894741,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P032
1,33,kernelbench_l1_33_33_batchnorm,10,9,7,True,True,1.010928961748634,phase2_n3,1,n1,0.9735449735449735,1.038399857448325,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P033
1,34,kernelbench_l1_34_34_instancenorm,10,6,6,True,True,1.0889679715302492,phase2_n3,4,n4,1.037162162162162,1.0499495751562014,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P034
1,35,kernelbench_l1_35_35_groupnorm,10,9,2,True,False,0.9344262295081968,n3,3,n3,0.9344262295081968,1.0,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P035
1,36,kernelbench_l1_36_36_rmsnorm,10,9,3,True,False,0.7121710526315789,phase2_n5,2,n2,0.49826589595375725,1.429299212358041,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P036
1,37,kernelbench_l1_37_37_frobeniusnorm,10,10,8,True,True,1.0632911392405064,phase2_n4,3,n3,1.0460251046025106,1.016506329113924,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P037
1,38,kernelbench_l1_38_38_l1norm,10,9,0,False,False,,,,,,,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P038
1,39,kernelbench_l1_39_39_l2norm,10,10,0,False,False,,,,,,,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P039
1,40,kernelbench_l1_40_40_layernorm,10,6,6,True,True,5.5576923076923075,phase2_n3,4,n4,4.48062015503876,1.2403846153846154,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P040
1,41,kernelbench_l1_41_41_max_pooling_1d,10,10,10,True,True,2.3107569721115535,phase2_n5,1,n1,0.9423076923076923,2.4522318887714447,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P041
1,42,kernelbench_l1_42_42_max_pooling_2d,10,10,10,True,True,1.9762376237623764,phase2_n1,1,n1,1.1817073170731707,1.6723579478690906,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P042
1,43,kernelbench_l1_43_43_max_pooling_3d,10,10,9,True,True,1.2072434607645877,phase2_n1,1,n1,1.2024048096192383,1.0040241448692155,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P043
1,44,kernelbench_l1_44_44_average_pooling_1d,10,10,5,True,True,1.4412955465587043,phase2_n2,1,n1,1.4323232323232322,1.0062641686129177,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P044
1,45,kernelbench_l1_45_45_average_pooling_2d,10,10,6,True,True,1.087912087912088,phase2_n2,2,n2,1.0819672131147542,1.0054945054945055,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P045
1,46,kernelbench_l1_46_46_average_pooling_3d,10,9,7,True,True,1.0194174757281553,n2,2,n2,1.0194174757281553,1.0,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P046
1,47,kernelbench_l1_47_47_sum_reduction_over_a_dimension,10,9,6,True,True,1.1226415094339623,n3,1,n1,0.9370078740157481,1.1981132075471697,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P047
1,48,kernelbench_l1_48_48_mean_reduction_over_a_dimension,10,10,9,True,True,1.0030549898167005,phase2_n4,1,n1,0.8767857142857144,1.144013837672815,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P048
1,49,kernelbench_l1_49_49_max_reduction_over_a_dimension,10,10,9,True,True,1.101351351351351,n4,1,n1,0.35919117647058824,3.0661982350825743,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P049
1,50,kernelbench_l1_50_50_conv_standard_2d_square_input_square_kernel,10,5,4,True,True,1.1685393258426966,phase2_n2,5,n5,0.9873015873015872,1.183568770548069,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P050
1,51,kernelbench_l1_51_51_argmax_over_a_dimension,10,8,7,True,True,1.0904017857142856,phase2_n2,1,n1,0.12452830188679247,8.756256764069262,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P051
1,52,kernelbench_l1_52_52_argmin_over_a_dimension,10,10,10,True,True,1.0010245901639343,phase2_n2,1,n1,0.8654867256637166,1.1566030540748937,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P052
1,53,kernelbench_l1_53_53_min_reduction_over_a_dimension,10,10,9,True,True,1.0,phase2_n2,1,n1,0.8578947368421052,1.1656441717791413,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P053
1,54,kernelbench_l1_54_54_conv_standard_3d_square_input_square_kernel,10,7,7,True,False,0.9964028776978417,n3,3,n3,0.9964028776978417,1.0,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P054
1,55,kernelbench_l1_55_55_conv_standard_2d_asymmetric_input_square_kernel,10,9,5,True,True,1.019047619047619,phase2_n5,1,n1,0.8120300751879699,1.2549382716049382,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P055
1,56,kernelbench_l1_56_56_conv_standard_2d_asymmetric_input_asymmetric_kernel,10,9,9,True,True,1.065110565110565,phase2_n1,1,n1,1.051219512195122,1.0132142266713031,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P056
1,57,kernelbench_l1_57_57_conv_transposed_2d_square_input_square_kernel,10,9,5,True,True,1.0,n2,2,n2,1.0,1.0,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P057
1,58,kernelbench_l1_58_58_conv_transposed_3d_asymmetric_input_asymmetric_kernel,10,9,8,True,True,9.945652173913043,phase2_n5,1,n1,0.8034934497816594,12.378012759924385,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P058
1,59,kernelbench_l1_59_59_conv_standard_3d_asymmetric_input_square_kernel,10,10,9,True,True,1.6109785202863962,phase2_n2,1,n1,0.6470588235294118,2.4896940768062485,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P059
1,60,kernelbench_l1_60_60_conv_standard_3d_square_input_asymmetric_kernel,10,6,4,True,True,1.0028818443804035,n5,1,n1,0.17748691099476438,5.650455229399914,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P060
1,61,kernelbench_l1_61_61_conv_transposed_3d_square_input_square_kernel,10,9,7,True,True,1.0,phase2_n1,1,n1,0.465483234714004,2.1483050847457625,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P061
1,62,kernelbench_l1_62_62_conv_standard_2d_square_input_asymmetric_kernel,10,4,1,True,False,0.9937791601866252,n7,7,n7,0.9937791601866252,1.0,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P062
1,63,kernelbench_l1_63_63_conv_standard_2d_square_input_square_kernel,10,9,0,False,False,,,,,,,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P063
1,64,kernelbench_l1_64_64_conv_transposed_1d,10,7,7,True,True,1.1176470588235297,phase2_n3,3,n3,0.991150442477876,1.1276260504201685,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P064
1,65,kernelbench_l1_65_65_conv_transposed_2d_square_input_asymmetric_kernel,10,8,8,True,True,1.0233236151603498,phase2_n4,1,n1,0.9621318373071529,1.06360020059669,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P065
1,66,kernelbench_l1_66_66_conv_standard_3d_asymmetric_input_asymmetric_kernel,10,7,7,True,True,1.0454545454545456,n2,2,n2,1.0454545454545456,1.0,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P066
1,67,kernelbench_l1_67_67_conv_standard_1d,10,8,6,True,True,1.0246913580246912,phase2_n4,1,n1,0.07679045092838195,13.34399454146144,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P067
1,68,kernelbench_l1_68_68_conv_transposed_3d_square_input_asymmetric_kernel,10,9,8,True,True,1.0031217481789803,phase2_n1,2,n2,0.1765249537892791,5.6826059242390405,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P068
1,69,kernelbench_l1_69_69_conv_transposed_2d_asymmetric_input_asymmetric_kernel,10,7,7,True,True,1.024,phase2_n1,1,n1,0.006649214659685864,154.00314960629922,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P069
1,70,kernelbench_l1_70_70_conv_transposed_3d_asymmetric_input_square_kernel,10,0,0,False,False,,,,,,,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P070
1,71,kernelbench_l1_71_71_conv_transposed_2d_asymmetric_input_square_kernel,10,8,8,True,False,0.9948717948717949,phase2_n3,1,n1,0.061198738170347,16.256410256410255,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P071
1,72,kernelbench_l1_72_72_conv_transposed_3d_asymmetric_input_asymmetric_kernel_strided_padded_grouped,10,9,8,True,True,2.4882352941176475,phase2_n1,2,n2,1.2961783439490449,1.9196704726116491,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P072
1,73,kernelbench_l1_73_73_conv_transposed_3d_asymmetric_input_square_kernel_strided_padded_grouped,10,9,9,True,True,1.0054945054945055,n1,1,n1,1.0054945054945055,1.0,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P073
1,74,kernelbench_l1_74_74_conv_transposed_1d_dilated,10,7,7,True,True,1.0428015564202335,n3,1,n1,0.07252124645892352,14.379255836575874,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P074
1,75,kernelbench_l1_75_75_conv_transposed_2d_asymmetric_input_asymmetric_kernel_strided_grouped_padded_dilated,10,10,8,True,True,3.0177514792899407,phase2_n5,1,n1,1.775043936731107,1.7000995957583924,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P075
1,76,kernelbench_l1_76_76_conv_standard_1d_dilated_strided,10,10,9,True,True,1.175141242937853,phase2_n1,1,n1,0.08309859154929577,14.14153021162501,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P076
1,77,kernelbench_l1_77_77_conv_transposed_3d_square_input_square_kernel_padded_dilated_strided,10,9,3,True,False,0.9988998899889989,phase2_n2,2,n2,0.46528497409326425,2.1468561110008553,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P077
1,78,kernelbench_l1_78_78_conv_transposed_2d_asymmetric_input_asymmetric_kernel_padded,10,7,2,True,True,1.0,n2,2,n2,1.0,1.0,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P078
1,79,kernelbench_l1_79_79_conv_transposed_1d_asymmetric_input_square_kernel_padded_strided_dilated,10,7,2,True,False,0.9979959919839678,phase2_n5,2,n2,0.9940119760479043,1.004008016032064,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P079
1,80,kernelbench_l1_80_80_conv_standard_2d_square_input_asymmetric_kernel_dilated_padded,10,7,4,True,True,1.1040118870728082,phase2_n5,3,n3,0.9984639016897081,1.105710366899074,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P080
1,81,kernelbench_l1_81_81_conv_transposed_2d_asymmetric_input_square_kernel_dilated_padded_strided,10,9,7,True,True,1.6818181818181819,n5,1,n1,0.6201680672268908,2.7118748460211877,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P081
1,82,kernelbench_l1_82_82_conv_depthwise_2d_square_input_square_kernel,10,8,8,True,True,1.2459677419354838,phase2_n5,1,n1,1.1835937499999998,1.0526988182689239,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P082
1,83,kernelbench_l1_83_83_conv_depthwise_2d_square_input_asymmetric_kernel,10,10,8,True,True,1.7322834645669292,n2,2,n2,1.7322834645669292,1.0,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P083
1,84,kernelbench_l1_84_84_conv_depthwise_2d_asymmetric_input_square_kernel,10,10,7,True,True,1.2841253791708795,n3,1,n1,1.1401869158878504,1.126241111240034,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P084
1,85,kernelbench_l1_85_85_conv_depthwise_2d_asymmetric_input_asymmetric_kernel,10,10,8,True,True,1.6766917293233081,phase2_n2,1,n1,1.3975903614457832,1.1997018408089186,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P085
1,86,kernelbench_l1_86_86_conv_depthwise_separable_2d,10,6,3,True,True,1.0119402985074628,n5,2,n2,0.9809384164222874,1.0316043102871295,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P086
1,87,kernelbench_l1_87_87_conv_pointwise_2d,10,9,0,False,False,,,,,,,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P087
1,88,kernelbench_l1_88_88_mingptnewgelu,10,10,9,True,True,9.751655629139073,n5,1,n1,9.006968641114984,1.0826789808754018,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P088
1,89,kernelbench_l1_89_89_cumsum,10,7,5,True,True,1.173913043478261,phase2_n5,3,n3,1.0,1.173913043478261,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P089
1,90,kernelbench_l1_90_90_cumprod,10,7,6,True,True,1.196078431372549,phase2_n4,3,n3,1.0081967213114755,1.1863542164833412,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P090
1,91,kernelbench_l1_91_91_cumsum_reverse,10,8,2,True,True,1.0033112582781458,n3,3,n3,1.0033112582781458,1.0,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P091
1,92,kernelbench_l1_92_92_cumsum_exclusive,10,4,2,True,True,3.3000000000000003,n8,7,n7,3.184466019417475,1.0362804878048784,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P092
1,93,kernelbench_l1_93_93_masked_cumsum,10,4,4,True,True,1.015748031496063,phase2_n3,3,n3,1.0039370078740157,1.011764705882353,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P093
1,94,kernelbench_l1_94_94_mseloss,10,10,8,True,True,3.102272727272727,phase2_n2,3,n3,3.027932960893855,1.024551325058705,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P094
1,95,kernelbench_l1_95_95_crossentropyloss,10,10,0,False,False,,,,,,,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P095
1,96,kernelbench_l1_96_96_huberloss,10,6,2,True,True,2.1704545454545454,n9,9,n9,2.1704545454545454,1.0,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P096
1,97,kernelbench_l1_97_97_scaleddotproductattention,10,9,9,True,True,2.175182481751825,n8,2,n2,1.7700729927007302,1.2288659793814434,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P097
1,98,kernelbench_l1_98_98_kldivloss,10,10,9,True,True,5.6000000000000005,n4,1,n1,5.555555555555556,1.008,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P098
1,99,kernelbench_l1_99_99_tripletmarginloss,10,10,10,True,True,4.07185628742515,n1,1,n1,4.07185628742515,1.0,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P099
1,100,kernelbench_l1_100_100_hingeloss,10,10,8,True,True,2.4015151515151514,n4,3,n3,2.3834586466165413,1.0075757575757576,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P100
2,1,kernelbench_l2_1_1_conv2d_relu_biasadd,10,6,6,True,True,1.2111801242236022,n2,1,n1,1.2053115423901943,1.0048689335719545,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P001
2,2,kernelbench_l2_2_2_convtranspose2d_biasadd_clamp_scaling_clamp_divide,10,10,9,True,True,1.9402985074626866,phase2_n1,1,n1,1.8792270531400965,1.0324981774929978,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P002
2,3,kernelbench_l2_3_3_convtranspose3d_sum_layernorm_avgpool_gelu,10,5,4,True,False,0.9925373134328359,n2,2,n2,0.9925373134328359,1.0,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P003
2,4,kernelbench_l2_4_4_conv2d_mish_mish,10,9,7,True,False,0.9794238683127572,n5,2,n2,0.9715447154471544,1.0081099230332147,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P004
2,5,kernelbench_l2_5_5_convtranspose2d_subtract_tanh,10,9,8,True,True,1.219047619047619,phase2_n2,2,n2,1.1751152073732718,1.0373856209150327,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P005
2,6,kernelbench_l2_6_6_conv3d_softmax_maxpool_maxpool,10,9,8,True,True,1.2254901960784312,phase2_n2,1,n1,0.6686046511627907,1.8329070758738277,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P006
2,7,kernelbench_l2_7_7_conv3d_relu_leakyrelu_gelu_sigmoid_biasadd,10,10,9,True,True,1.888888888888889,phase2_n2,1,n1,1.8279569892473118,1.0333333333333334,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P007
2,8,kernelbench_l2_8_8_conv3d_divide_max_globalavgpool_biasadd_sum,10,10,9,True,True,1.1908783783783783,phase2_n2,2,n2,1.175170068027211,1.013366840067274,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P008
2,9,kernelbench_l2_9_9_matmul_subtract_multiply_relu,10,9,8,True,True,1.0408163265306123,n4,1,n1,0.9900662251655629,1.0512592997065047,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P009
2,10,kernelbench_l2_10_10_convtranspose2d_maxpool_hardtanh_mean_tanh,10,9,7,True,True,1.1071428571428572,phase2_n1,1,n1,0.8401360544217688,1.3178137651821862,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P010
2,11,kernelbench_l2_11_11_convtranspose2d_batchnorm_tanh_maxpool_groupnorm,10,10,7,True,True,1.0476190476190477,n3,1,n1,1.0202247191011236,1.0268512691420182,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P011
2,12,kernelbench_l2_12_12_gemm_multiply_leakyrelu,10,10,7,True,True,1.0170068027210886,n2,1,n1,1.0067114093959733,1.0102267573696146,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P012
2,13,kernelbench_l2_13_13_convtranspose3d_mean_add_softmax_tanh_scaling,10,8,7,True,True,1.0120967741935485,phase2_n5,1,n1,0.6459948320413437,1.566725806451613,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P013
2,14,kernelbench_l2_14_14_gemm_divide_sum_scaling,10,7,2,True,True,1.3115264797507789,n2,2,n2,1.3115264797507789,1.0,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P014
2,15,kernelbench_l2_15_15_convtranspose3d_batchnorm_subtract,10,9,6,True,False,0.9785714285714284,phase2_n1,1,n1,0.9661971830985917,1.012807163681799,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P015
2,16,kernelbench_l2_16_16_convtranspose2d_mish_add_hardtanh_scaling,10,10,7,True,True,1.691542288557214,n3,1,n1,1.681592039800995,1.0059171597633136,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P016
2,17,kernelbench_l2_17_17_conv2d_instancenorm_divide,10,8,6,True,True,1.3354037267080745,phase2_n4,1,n1,0.7329545454545454,1.8219461697722568,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P017
2,18,kernelbench_l2_18_18_matmul_sum_max_avgpool_logsumexp_logsumexp,10,4,4,True,True,52.92035398230088,n4,2,n2,41.04979811574697,1.2891745248803135,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P018
2,19,kernelbench_l2_19_19_convtranspose2d_gelu_groupnorm,10,5,3,True,True,1.136531365313653,n8,6,n6,0.9746835443037974,1.1660516605166051,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P019
2,20,kernelbench_l2_20_20_convtranspose3d_sum_residualadd_multiply_residualadd,10,10,7,True,True,1.6019417475728155,phase2_n2,1,n1,1.070967741935484,1.495788981167388,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level2/L2_P020
